318 413972 99320 413974
203982 367509 3982 367511
259120 476660 9120 476670
172325 363377 2325 363379
176457 520015 6457 520017
0500 457080 150510 457090
102472 486687 2472 486689
259690 489380 9690 489390
208101 436098 8101 436100
243521 578829 3521 578831
1146 370083 141148 370085
155429 436073 5429 436075
114284 538815 4284 538817
162748 432931 2748 432933
148350 453520 8350 453530
0837 433677 180839 433679
570 437140 65580 437150
232465 441907 2465 441909
192424 460874 2424 460876
196051 312883 6051 312885
1491 460036 151493 460038
176654 426535 6654 426537
510 477060 92520 477070
0986 442574 250988 442576
229478 458723 9478 458725
199450 451700 9450 451702
192875 361804 2875 361806
142176 408897 2176 408899
202490 577230 2490 577240
152120 459630 2120 459640
186756 491775 6756 491777
1532 602053 251534 602055
165038 542180 5038 542182
010 475510 97020 475520
105088 507768 5088 507770
255820 496385 5820 496387
107242 506639 7242 506641
220 388320 81230 388330
217517 485777 7517 485779
138930 438300 8930 438310
137600 478540 7600 478550
120 427360 94122 427362
228 432897 64230 432899
199289 450553 9289 450555
179734 472589 9734 472591
143685 479732 3685 479734
150 427450 56160 427460
0413 438342 110415 438344
222782 453741 2782 453743
224429 469130 4429 469132
174018 479733 4018 479735
0984 533739 210986 533741
164744 471964 4744 471966
235232 508098 5232 508100
235 425030 53237 425032
0330 381820 150340 381830
450 428450 87460 428460
206230 459900 6230 459910
217520 476777 7520 476779
171946 433199 1946 433201
118730 421650 8730 421660
1372 456547 201374 456549
0790 447700 210800 447710
0010 388920 150020 388930
244224 451353 4224 451355
0314 544086 220316 544088
223793 457741 3793 457743
1707 314798 181709 314800
1265 445278 211267 445280
234422 506445 4422 506447
222320 453530 2320 453540
146366 381500 6366 381502
225400 491250 5400 491260
232813 441267 2813 441269
179835 474602 9835 474604
265740 473060 5740 473070
1680 542606 251682 542608
157540 448030 7540 448040
166000 462090 6000 462100
46626 361599 626 361601
243716 552642 3716 552644
2304 553622 242306 553624
277679 559294 7679 559296
106569 521256 6569 521258
193186 362874 3186 362876
010 443840 71020 443850
253393 443531 3393 443533
0403 453778 200405 453780
197040 379377 7040 379379
204250 440590 4250 440600
222820 481770 2820 481780
239026 446176 9026 446178
197960 485070 7960 485080
0530 436190 140540 436200
117720 395320 7720 395330
111929 395353 1929 395355
208335 467534 8335 467536
191944 361681 1944 361683
196940 504800 6940 504810
1477 459365 191479 459367
237970 465590 7970 465600
189742 453673 9742 453675
202540 496720 2540 496730
202550 577170 2550 577180
106340 440228 6340 440230
189523 453568 9523 453570
205330 453820 5330 453830
202394 448771 2394 448773
223560 543419 3560 543421
223838 469772 3838 469774
205815 456072 5815 456074
204149 376356 4149 376358
149146 370751 9146 370753
172960 412800 2960 412810
159410 408880 9410 408890
209539 601491 9539 601493
197619 456257 7619 456259
153736 388222 3736 388224
189580 381410 9580 381420
169550 440250 9550 440260
398 413064 85400 413066
490 456100 82500 456110
0500 480521 170502 480523
170 391910 93180 391920
237506 557398 7506 557400
223386 431426 3386 431428
144414 458369 4414 458371
225011 570372 5011 570374
194210 392806 4210 392808
1658 463634 231660 463636
0140 478530 210150 478540
218962 434706 8962 434708
92950 390200 950 390210
104800 436960 4800 436970
186553 450606 6553 450608
102370 486730 2370 486740
219100 455580 9100 455582
105716 503440 5716 503442
165146 472999 5146 473001
163274 472947 3274 472949
224671 462825 4671 462827
164030 407930 4030 407940
122020 403320 2020 403330
146900 464250 6900 464260
0354 550177 110356 550179
267870 562340 7870 562350
238754 499224 8754 499226
216203 446086 6203 446088
102607 496069 2607 496071
178748 472845 8748 472847
175540 452070 5540 452080
212953 505642 2953 505644
228970 500160 8970 500162
173467 390103 3467 390105
26383 399792 383 399794
226763 567909 6763 567911
244779 449615 4779 449617
151531 459722 1531 459724
144030 467250 4030 467260
132938 482295 2938 482297
218290 435870 8290 435880
194688 455954 4688 455956
2066 441043 222068 441045
189415 448066 9415 448068
1556 449759 241558 449761
192552 426403 2552 426405
123220 453900 3220 453910
1585 435136 161587 435138
248223 468115 8223 468117
205090 549550 5090 549560
0040 488990 260050 489000
163058 456877 3058 456879
225626 468621 5626 468623
1931 437278 211933 437280
193203 452906 3203 452908
0900 512550 240910 512560
173170 367920 3170 367930
187544 317570 7544 317572
0261 557654 240263 557656
183260 378300 3260 378310
112752 448334 2752 448336
226110 570760 6110 570770
267516 483450 7516 483452
174434 482483 4434 482485
196309 566478 6309 566480
253026 444701 3026 444703
202640 478470 2640 478480
080 438030 96090 438040
105811 518592 5811 518594
0390 482850 220400 482860
151983 389140 1983 389142
182788 409016 2788 409018
189663 447100 9663 447102
163214 466973 3214 466975
194745 461062 4745 461064
223250 461330 3250 461340
214080 566720 4080 566730
1283 474795 231285 474797
235906 590098 5906 590100
500 462660 85510 462670
179883 471930 9883 471932
2110 444650 252120 444660
154053 399766 4053 399768
273251 549488 3251 549490
206547 468280 6547 468282
249902 542391 9902 542393
0002 448778 200004 448780
225340 498980 5340 498990
159880 471000 9880 471010
175773 451573 5773 451575
223110 459230 3110 459240
149036 460701 9036 460703
195486 452019 5486 452021
1982 543780 251984 543782
0450 435566 150452 435568
123720 427540 3720 427550
1018 404210 201020 404212
213329 533744 3329 533746
179875 448202 9875 448204
256146 485385 6146 485387
1770 426810 191780 426820
147344 457099 7344 457101
207338 553585 7338 553587
258676 493788 8676 493790
163490 466420 3490 466430
242590 555507 2590 555509
39877 393742 877 393744
248572 537562 8572 537564
1080 438957 171082 438959
185890 453000 5890 453010
466 480739 94468 480741
215205 444272 5205 444274
194990 498450 4990 498460
0840 465940 210850 465950
214418 448989 4418 448991
206700 460610 6700 460620
197767 344377 7767 344379
151824 459573 1824 459575
166620 393380 6620 393390
197020 504630 7020 504640
192398 361567 2398 361569
154014 388218 4014 388220
198727 491853 8727 491855
187889 307785 7889 307787
223420 452790 3420 452800
223624 468304 3624 468306
259590 489001 9590 489003
249982 543429 9982 543431
179485 459070 9485 459072
147806 447929 7806 447931
184037 451167 4037 451169
212207 544642 2207 544644
202826 448369 2826 448371
0392 467619 140394 467621
0881 432206 210883 432208
0051 539993 190053 539995
183514 490483 3514 490485
112439 564451 2439 564453
155303 420901 5303 420903
194040 496700 4040 496710
0840 478470 210850 478480
1680 551030 271690 551040
123330 427327 3330 427329
152322 459808 2322 459810
182628 476439 2628 476441
152252 459868 2252 459870
172713 364238 2713 364240
245530 541720 5530 541730
253113 444353 3113 444355
0954 555487 210956 555489
192113 394874 2113 394876
166204 438337 6204 438339
182779 422016 2779 422018
267359 482174 7359 482176
178343 472778 8343 472780
1610 435480 211620 435490
193065 425907 3065 425909
186705 486650 6705 486652
116570 457620 6570 457630
0966 564206 210968 564208
152412 459881 2412 459883
165630 465710 5630 465720
178591 478241 8591 478243
213480 454710 3480 454720
158802 467813 8802 467815
182726 457649 2726 457651
193671 533489 3671 533491
1050 477800 211060 477810
247030 530510 7030 530520
490 451920 79500 451930
226689 465864 6689 465866
245676 493183 5676 493185
187901 471050 7901 471052
202140 436410 2140 436420
152462 459872 2462 459874
128090 390020 8090 390030
223090 496480 3090 496490
0590 553220 230600 553230
239138 569841 9138 569843
1299 420411 181301 420413
254554 533279 4554 533281
206504 611462 6504 611464
769 438318 95771 438320
245022 457381 5022 457383
166090 461920 6090 461930
41472 416810 472 416812
187058 456696 7058 456698
249652 437926 9652 437928
206529 387676 6529 387678
106790 386280 6790 386290
224502 468195 4502 468197
269237 552333 9237 552335
233779 478448 3779 478450
253631 481861 3631 481863
222260 513640 2260 513650
183360 420989 3360 420991
127536 448620 7536 448622
246355 556148 6355 556150
152381 459942 2381 459944
265680 473180 5680 473190
203681 376163 3681 376165
0540 477960 210550 477970
500 476720 92510 476730
106645 532022 6645 532024
216049 499778 6049 499780
203996 353688 3996 353690
0826 314448 180828 314450
193610 407610 3610 407620
0460 384690 210470 384700
0934 456799 120936 456801
0406 383021 140408 383023
226664 565994 6664 565996
153065 389659 3065 389661
185591 321345 5591 321347
179367 396002 9367 396004
1593 387278 211595 387280
207938 611257 7938 611259
244436 458389 4436 458391
199037 542459 9037 542461
240 379550 81250 379560
176667 483619 6667 483621
146330 468070 6330 468080
1486 491769 221488 491771
202550 496630 2550 496640
212381 554163 2381 554165
187125 458696 7125 458698
1585 527279 241587 527281
206240 480690 6240 480700
202451 401213 2451 401215
187378 492998 7378 493000
113563 414505 3563 414507
154570 373332 4570 373334
878 464157 88880 464159
192868 361767 2868 361769
246353 441609 6353 441611
179089 472831 9089 472833
0950 502320 210960 502330
266944 478611 6944 478613
253784 545797 3784 545799
203959 367501 3959 367503
203875 453871 3875 453873
1490 552090 271500 552100
216070 558150 6070 558160
206240 563677 6240 563679
166744 466324 6744 466326
0840 478340 210850 478350
243520 476120 3520 476122
151906 453237 1906 453239
179340 476655 9340 476657
1820 477670 211830 477680
102412 490307 2412 490309
224260 503290 4260 503300
0256 311610 180258 311612
178852 472788 8852 472790
136895 424573 6895 424575
166380 443140 6380 443150
530 462780 85540 462790
1350 467900 161360 467910
134854 475452 4854 475454
202210 577030 2210 577040
104720 402240 4720 402250
151521 460041 1521 460043
0200 536206 210202 536208
1056 443062 251058 443064
126340 391500 6340 391510
202860 453880 2860 453890
245650 440450 5650 440460
202080 495213 2080 495215
165283 455980 5283 455982
203290 373653 3290 373655
440 462380 85450 462390
195593 497988 5593 497990
134278 405135 4278 405137
182283 455016 2283 455018
224443 448541 4443 448543
227189 565733 7189 565735
226020 436220 6020 436230
0750 489620 230760 489630
187801 480007 7801 480009
0530 459880 150540 459890
208428 351311 8428 351313
121627 495667 1627 495669
500 462670 85510 462680
0937 501378 230939 501380
167040 379257 7040 379259
237140 483190 7140 483200
1525 453849 161527 453851
196960 481860 6960 481870
144030 369480 4030 369490
188006 316108 8006 316110
0210 392206 210212 392208
218461 548559 8461 548561
202394 451769 2394 451771
182752 352339 2752 352341
163380 456800 3380 456810
1428 459522 151430 459524
0978 426409 150980 426411
189503 308935 9503 308937
268 412997 96270 412999
107620 399630 7620 399640
182231 450685 2231 450687
0876 561864 210878 561866
184063 469349 4063 469351
193465 460843 3465 460845
243439 553408 3439 553410
0933 428054 180935 428056
197388 500377 7388 500379
146942 438127 6942 438129
214200 536442 4200 536444
165650 370120 5650 370130
824 413778 97826 413780
610 459320 83620 459330
0379 489422 220381 489424
142667 472821 2667 472823
152049 459820 2049 459822
0784 446206 210786 446208
206230 522320 6230 522330
108166 494432 8166 494434
1630 511590 201640 511600
179810 471956 9810 471958
1248 550365 191250 550367
1717 450874 181719 450876
0790 447060 210800 447070
134995 590391 4995 590393
138360 381570 8360 381580
226250 437310 6250 437320
158895 466742 8895 466744
85880 461970 880 461980
0790 386800 170800 386810
183980 489740 3980 489750
645 434888 64647 434890
808 478804 95810 478806
208803 461537 8803 461539
256950 480200 6950 480210
2390 483040 252400 483050
370 477240 92380 477250
186363 470659 6363 470661
146010 466550 6010 466560
215369 446083 5369 446085
248706 553148 8706 553150
228788 458980 8788 458982
225770 487948 5770 487950
1525 439424 241527 439426
242671 533589 2671 533591
740 451850 74750 451860
182429 477016 2429 477018
142150 432369 2150 432371
0870 435130 210880 435140
235043 437042 5043 437044
129699 441936 9699 441938
243127 563188 3127 563190
144320 425480 4320 425490
226724 452864 6724 452866
187624 485544 7624 485546
192210 485020 2210 485030
227359 482114 7359 482116
198851 434968 8851 434970
215770 453010 5770 453020
1304 471365 191306 471367
111723 418301 1723 418303
136300 399230 6300 399240
193250 556554 3250 556556
222577 578907 2577 578909
0965 424362 130967 424364
247783 459554 7783 459556
106870 437880 6870 437890
228482 539419 8482 539421
0781 435935 150783 435937
202524 447005 2524 447007
161997 541908 1997 541910
197246 349377 7246 349379
227273 442114 7273 442116
233211 507448 3211 507450
138588 517433 8588 517435
257080 495632 7080 495634
183736 443210 3736 443212
143731 426586 3731 426588
161820 447500 1820 447510
238106 457855 8106 457857
197254 433149 7254 433151
106597 532421 6597 532423
229680 576050 9680 576060
637 413471 96639 413473
202211 368814 2211 368816
0679 492584 160681 492586
223126 458818 3126 458820
223320 452890 3320 452900
837 413673 97839 413675
0818 308447 190820 308449
183120 483400 3120 483410
186960 452810 6960 452812
253537 497701 3537 497703
219058 456800 9058 456802
